run,res,thread_no,omp_schedule,time,speedup,efficiency
2,2000,16,dynamic,997.0,,
3,2000,16,dynamic,998.0,,
4,2000,16,dynamic,997.0,,
5,2000,16,dynamic,999.0,,
6,2000,16,dynamic,998.0,,
7,2000,16,dynamic,1000.0,,
8,2000,16,dynamic,1010.0,,
9,2000,16,dynamic,997.0,,
10,2000,16,dynamic,997.0,,
1,2000,16,static,1812.0,,
2,2000,16,static,1901.0,,
3,2000,16,static,1970.0,,
4,2000,16,static,1875.0,,
5,2000,16,static,1848.0,,
6,2000,16,static,2048.0,,
7,2000,16,static,1800.0,,
8,2000,16,static,2062.0,,
9,2000,16,static,1820.0,,
10,2000,16,static,1837.0,,
1,500,24,dynamic,57.0,,
2,500,24,dynamic,57.0,,
3,500,24,dynamic,56.0,,
4,500,24,dynamic,58.0,,
5,500,24,dynamic,57.0,,
6,500,24,dynamic,57.0,,
7,500,24,dynamic,56.0,,
8,500,24,dynamic,57.0,,
9,500,24,dynamic,57.0,,
10,500,24,dynamic,57.0,,
1,500,24,static,97.0,,
2,500,24,static,94.0,,
3,500,24,static,102.0,,
4,500,24,static,97.0,,
5,500,24,static,102.0,,
6,500,24,static,89.0,,
7,500,24,static,99.0,,
8,500,24,static,118.0,,
9,500,24,static,99.0,,
10,500,24,static,110.0,,
1,1000,24,dynamic,209.0,,
2,1000,24,dynamic,208.0,,
3,1000,24,dynamic,210.0,,
4,1000,24,dynamic,208.0,,
5,1000,24,dynamic,208.0,,
6,1000,24,dynamic,208.0,,
7,1000,24,dynamic,210.0,,
8,1000,24,dynamic,211.0,,
9,1000,24,dynamic,208.0,,
10,1000,24,dynamic,209.0,,
1,1000,24,static,376.0,,
2,1000,24,static,412.0,,
3,1000,24,static,381.0,,
4,1000,24,static,357.0,,
5,1000,24,static,413.0,,
6,1000,24,static,380.0,,
7,1000,24,static,373.0,,
8,1000,24,static,347.0,,
9,1000,24,static,370.0,,
10,1000,24,static,356.0,,
1,1500,24,dynamic,460.0,,
2,1500,24,dynamic,463.0,,
3,1500,24,dynamic,460.0,,
4,1500,24,dynamic,460.0,,
5,1500,24,dynamic,459.0,,
6,1500,24,dynamic,467.0,,
7,1500,24,dynamic,461.0,,
8,1500,24,dynamic,461.0,,
9,1500,24,dynamic,462.0,,
10,1500,24,dynamic,462.0,,
1,1500,24,static,940.0,,
2,1500,24,static,814.0,,
3,1500,24,static,888.0,,
4,1500,24,static,725.0,,
5,1500,24,static,834.0,,
6,1500,24,static,790.0,,
7,1500,24,static,780.0,,
8,1500,24,static,845.0,,
9,1500,24,static,835.0,,
10,1500,24,static,675.0,,
1,2000,24,dynamic,811.0,,
2,2000,24,dynamic,812.0,,
3,2000,24,dynamic,819.0,,
4,2000,24,dynamic,810.0,,
5,2000,24,dynamic,811.0,,
6,2000,24,dynamic,812.0,,
7,2000,24,dynamic,815.0,,
8,2000,24,dynamic,813.0,,
9,2000,24,dynamic,813.0,,
10,2000,24,dynamic,813.0,,
1,2000,24,static,1472.0,,
2,2000,24,static,1541.0,,
3,2000,24,static,1365.0,,
4,2000,24,static,1533.0,,
5,2000,24,static,1422.0,,
6,2000,24,static,1425.0,,
7,2000,24,static,1439.0,,
8,2000,24,static,1527.0,,
9,2000,24,static,1449.0,,
10,2000,24,static,1414.0,,
